"symbol";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"TTC22";-2.15506946717686;-0.426199591091099;-5.05647943410678;4.27066901057731e-07;1.07596647792789e-06
"ZNF662";-1.36936802512561;-0.198430629533581;-6.90099118439714;5.1640937961506e-12;2.0498266419665e-11
"SLC40A1";4.174636816622;-0.187867033867005;22.2212313181955;2.14118606096074e-109;3.96994314506946e-107
"ZNF621";-0.691070861334986;-0.113132870062967;-6.10848872613547;1.00578963009945e-09;3.27038102806051e-09
"EFCAB13";-1.57283967471603;-0.230397726102698;-6.82662846253504;8.69334511646114e-12;3.37231383224161e-11
"PRSS57";5.19872689515249;-0.260373994363102;19.9663830017627;1.07996523264786e-88;1.12859639433619e-86
"DUOX2";-2.94780553658831;-0.774924484843032;-3.80399070392699;0.000142383525471221;0.000272065506394089
"SLC46A2";-3.31969240816141;-0.51746293027479;-6.41532410137774;1.40523581829518e-10;4.9188959023272e-10
"IQCE";-1.2907584406718;-0.191169441127787;-6.75190779999713;1.45913595879028e-11;5.55283189967355e-11
"TRIM15";5.17739545720395;-1.44472645594455;3.5836510336616;0.000338824696402846;0.000619746922676808
"CRYL1";0.382002956652275;-0.159484943014815;2.39522897541989;0.0166099888461092;0.0240738032843121
"SORT1";-0.508254814226083;-0.200702004924261;-2.53238533624954;0.0113289415964794;0.0168517028940729
"WDR34";2.81955274050262;-0.183144999478611;15.3951936909525;1.76295826623485e-53;6.52332390229346e-52
"NDUFB7";2.14331012108326;-0.304090291546334;7.04826882234315;1.81157407752945e-12;7.44979056018131e-12
"GOLGA8A";-2.5061799680456;-0.176795754248781;-14.1755664817549;1.29791545380236e-45;3.49686815154909e-44
"DFNB31";-1.2320775183269;-0.281729096683081;-4.37327039639386;1.22398966770463e-05;2.64178919016534e-05
"RHOB";0.610903813015815;-0.194148019222294;3.14658792535167;0.00165187586718801;0.00276724915747818
"ZKSCAN4";2.14450136570782;-0.3142659761775;6.82384199458037;8.86373706715246e-12;3.43377708939362e-11
"AC011484.1";3.16734870070679;-0.444382135689433;7.12753381904707;1.02183172078539e-12;4.30267261575153e-12
"FAM83H";-1.19144513302671;-0.465194760037443;-2.56117487851928;0.0104318830581613;0.0155953667046883
"COL18A1";1.13364495442698;-0.249680781255374;4.54037731189042;5.6153647094896e-06;1.26058760168896e-05
"LYPD5";-2.76549571156807;-0.32707170756206;-8.4553192698373;2.7832474251493e-17;1.67334502621511e-16
"THBS4";3.68273796364933;-0.529080798917659;6.96063431366836;3.38744025290771e-12;1.36375513147064e-11
"ITGA2B";1.7103056228396;-0.269056394706414;6.35668081669584;2.06159739285973e-10;7.12815797976345e-10
"KIAA1522";-0.574481377480292;-0.230536014294329;-2.4919376663936;0.0127048331917772;0.0187655849516717
"TMPRSS3";-2.29600067601228;-0.357004821184972;-6.43128758987452;1.26527504986815e-10;4.4488453680417e-10
"DUSP27";1.16173595950019;-0.23590613486475;4.92456866442341;8.45466378531357e-07;2.06258867643127e-06
"RTN4R";3.6328801026294;-0.536592161479496;6.77028172124766;1.28531866851796e-11;4.91195695949805e-11
"EFCAB10";-1.99977652641074;-0.861477406910827;-2.32133368834563;0.0202688413912709;0.0289605263597684
"DTX2";-1.24497541971139;-0.13011110229849;-9.56855639309916;1.08408759739055e-21;8.71871382546888e-21
"ELN";-2.01936457873993;-0.354947580936475;-5.68919098817958;1.27642645111677e-08;3.7552331166365e-08
"WFDC1";1.42729874546727;-0.189555253902106;7.52972400440233;5.08476846095347e-14;2.37541757172096e-13
"KCNK3";-1.92301178294048;-0.317327798888143;-6.06001677028723;1.36107357032084e-09;4.37038949218663e-09
"NEURL1";-1.98761134559392;-0.607797660831424;-3.27018590837452;0.00107476824423662;0.00184528814451578
"FCHO1";-0.766217854900604;-0.229844158814909;-3.33364075402773;0.000857172895139038;0.00149039348904734
"PLEKHA7";1.50238388207864;-0.700005566786053;2.14624562055493;0.0318533876034917;0.0440596793235206
"APOBEC3G";0.730435891446385;-0.131641695904149;5.54866667760214;2.87856377837683e-08;8.18655372431992e-08
"SARM1";-2.18119307410073;-0.250935581270642;-8.69224309703709;3.55352706056475e-18;2.25934613220199e-17
"SLC9A3";2.48522057741317;-0.447549193406893;5.55295510309123;2.80880236000924e-08;7.99474729178597e-08
"SPNS2";1.66732015976107;-0.210848891975088;7.90765435920845;2.62283820031937e-15;1.35690366300951e-14
"GPN3";1.92926593204359;-0.309409012325832;6.23532558906824;4.50839403867624e-10;1.50713917039345e-09
"CHFR";-1.1953104661333;-0.0988100767540714;-12.0970502746224;1.09474550336747e-33;1.7238992433393e-32
"SIAH3";-2.77704585412203;-0.450966078891084;-6.15799277176395;7.36727175958344e-10;2.41739042722164e-09
"RAB3C";2.76663118281069;-0.886973102254503;3.1191827303201;0.00181353453250292;0.00301608564274188
"NFATC1";-2.09571994316973;-0.28661296052188;-7.31202084983781;2.63154264748181e-13;1.16288287725599e-12
"CDC42BPB";-1.62026700839835;-0.424412822472592;-3.81766742804521;0.000134719359867764;0.00025833695754002
"TTLL3";-1.51575167540978;-0.103400568307872;-14.6590265432263;1.17951879103457e-48;3.56189886406464e-47
"TDRD12";-1.3011674888216;-0.255344343426608;-5.09573649198767;3.47388053068852e-07;8.82961703871789e-07
"FAM216A";1.57922913768916;-0.315012543328297;5.01322620681593;5.3524909613521e-07;1.33198155067967e-06
"ATP6V0D2";-2.32970182766793;-0.440378277735849;-5.29022875434684;1.22163470831315e-07;3.2472093842213e-07
"BRF1";-0.927424935466956;-0.204793578747297;-4.52858405590609;5.93802591282602e-06;1.33007769310027e-05
"CPM";0.910069634221389;-0.282255156578595;3.22427992194353;0.00126289886158981;0.00214776260680472
"CRISPLD2";-0.381427616094711;-0.165487674750023;-2.30487023683713;0.0211738419637805;0.030166120547093
"IGF2BP2";-0.670768953024915;-0.25145789855639;-2.66751991834726;0.00764133595688625;0.0116611696525878
"NIPA1";-1.49577382773881;-0.160659600083478;-9.3102050979936;1.27585739816052e-20;9.53602475790284e-20
"CNTNAP3B";-2.04662829599474;-0.301092610145978;-6.79733818442931;1.0656973846287e-11;4.10083017254023e-11
"RASGEF1A";1.65102737131011;-0.280684305706991;5.88215065018148;4.04969471781015e-09;1.24627674494379e-08
"MAGI1";-1.75149230203703;-0.823187282021774;-2.12769601801344;0.0333622952890747;0.0460102421554438
"TRIM2";-1.10454489872056;-0.183799848180559;-6.00949842806991;1.86098168199979e-09;5.90847121022325e-09
"MIB1";1.32949012777459;-0.153052231972729;8.68651251039244;3.73735806194648e-18;2.37272699050601e-17
"VWA3B";-2.17193406948824;-0.751948673580115;-2.88840734188334;0.00387198087588942;0.00615171530848256
"TEAD4";2.55133096702197;-0.594374114748857;4.29246648485019;1.76699228557414e-05;3.75548477507149e-05
"RP11-192H23.4";-1.10360171792123;-0.290021684279846;-3.80523863469585;0.000141667539564463;0.000270817448415747
"MYH14";-2.73976686452485;-0.521265279964194;-5.25599338730761;1.47227580140061e-07;3.88290786839258e-07
"ARHGEF10";-0.728607336878172;-0.205504957597156;-3.54544895362785;0.000391944894287846;0.000710503134167927
"ASB18";-2.41933831851121;-0.243591887518527;-9.93193305063247;3.02336663430826e-23;2.65572648371764e-22
"PRKAR1B";1.80188702183219;-0.251096767831565;7.17606617318505;7.17458382878208e-13;3.06443767549392e-12
"PEX5L";-2.39576535258751;-0.447831674829268;-5.3497005398309;8.80998884763536e-08;2.3758310556737e-07
"NDUFA12";1.68244207397961;-0.197877982587619;8.50242180549137;1.85675727179619e-17;1.13091012495873e-16
"PGM5";-3.53288738211655;-0.621753435340241;-5.68213568483663;1.33023057718353e-08;3.90634456529385e-08
"COL4A4";-3.95197636886616;-0.921567621871542;-4.28831946248327;1.80030040608891e-05;3.82344868853198e-05
"TBC1D22A";-0.559047570427938;-0.10835653392151;-5.15933419236993;2.47829592838767e-07;6.38667713244487e-07
"PTPRM";1.98228915490329;-0.359577754401941;5.51282478027676;3.53119743986003e-08;9.94259266092528e-08
"WWOX";0.65584459939554;-0.200894332592219;3.26462469564431;0.0010960920457887;0.00187946650214147
"GMDS";0.817231815256806;-0.278815154801711;2.93108821806336;0.0033777684552898;0.00540934425478314
"ADCY2";-2.33323605554469;-0.220793833554433;-10.5674874066149;4.21639832483892e-26;4.42503690293351e-25
"SDK1";-2.12711943801147;-0.994086127621331;-2.13977378710764;0.0323730525891594;0.0447605280887559
"NRXN1";-2.72260040541165;-0.576263994395606;-4.724571432347;2.30601149427894e-06;5.38642050878512e-06
"DHH";-3.45129337553536;-1.32581172832773;-2.60315495918002;0.00923701932705798;0.0139347265316239
"TFAP2E";1.59170915411933;-0.317830686587061;5.00804114043066;5.49867831476293e-07;1.3659949601132e-06
"TRIP10";-1.47591082999677;-0.427627595618274;-3.45139285939407;0.0005577011331553;0.000992306329480636
"NIF3L1";2.11448904438787;-0.214215638046817;9.87084352789289;5.56942600357925e-23;4.82338586538006e-22
"FRRS1L";-2.54388181421904;-0.228372749606366;-11.1391653277539;8.08737300413738e-29;9.77228960829298e-28
"MEIS1";1.15271596581809;-0.228357567361307;5.04785533992953;4.46797239729446e-07;1.12272293859732e-06
"KLF11";-2.91042117712787;-0.143409379879474;-20.2944966331622;1.43819975171315e-91;1.69855330950615e-89
"PUS3";-0.940030088823341;-0.374901689335189;-2.50740424907205;0.0121621528112384;0.0180118526946822
"BACH2";-4.26547340725434;-0.465521231020506;-9.16279027253742;5.0572431810581e-20;3.63644888119203e-19
"DDX25";-1.59418017524078;-0.457272736978463;-3.48627863925301;0.00048979055201081;0.00087708572939271
"VWA2";-1.99017521253047;-0.642560838382326;-3.09725568950143;0.0019532132221142;0.00323341547512627
"TF";-1.29485937774538;-0.375050202518127;-3.45249614332044;0.000555425416127654;0.000988612155982462
"ZNF420";0.641141248352801;-0.245315156708616;2.61354111566105;0.00896093010535998;0.013538361325394
"CDPF1";2.13889816458885;-0.441747364964678;4.8419036178289;1.28601141802106e-06;3.08281591560366e-06
"AGBL4";-2.33579596366434;-0.283686839326399;-8.23371281237641;1.8149850716757e-16;1.0237418250214e-15
"PRDX1";2.3443955697528;-0.152415596126089;15.3815989264862;2.17509205649336e-53;8.0139128910502e-52
"ZNF573";0.902032447716642;-0.248278017371855;3.63315470803699;0.000279977032714011;0.000517321471826799
"CYB5A";2.09824253601629;-0.224093295161852;9.36325441821376;7.73177141446187e-21;5.86791084945273e-20
